1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,GarageFinish_None,GarageFinish_RFn,GarageFinish_Unf
856,854.0,3.0,1,706,6,150,548,2003.0,1710,4,8450,65.0,196.0,61,5,7,856,2003,2003,False,True,False
1262,0.0,3.0,4,978,5,284,460,1976.0,1262,3,9600,80.0,0.0,0,8,6,1262,1976,1976,False,True,False
920,866.0,3.0,2,486,6,434,608,2001.0,1786,4,11250,68.0,162.0,42,5,7,920,2001,2002,False,True,False
961,0.0,3.0,1,216,5,540,642,1998.0,1717,4,9550,60.0,0.0,35,5,7,756,1915,1970,False,False,True
1145,0.0,4.0,3,655,6,490,836,2000.0,2198,4,14260,84.0,350.0,84,5,8,1145,2000,2000,False,True,False
796,566.0,1.0,1,732,6,64,480,1993.0,1362,3,14115,85.0,0.0,30,5,5,796,1993,1995,False,False,True
1694,0.0,3.0,3,1369,6,317,636,2004.0,1694,4,10084,75.0,186.0,57,5,8,1686,2004,2005,False,True,False
1107,983.0,3.0,2,859,5,216,484,1973.0,2090,3,10382,69.0,240.0,204,6,7,1107,1973,1973,True,False,False
1022,752.0,2.0,1,0,1,952,468,1931.0,1774,3,6120,51.0,0.0,0,5,7,952,1931,1950,False,False,True
1077,0.0,2.0,1,851,6,140,205,1939.0,1077,3,7420,50.0,0.0,4,6,5,991,1939,1950,False,True,False
1040,0.0,3.0,1,906,3,134,384,1965.0,1040,3,11200,70.0,0.0,0,5,5,1040,1965,1965,False,False,True
1182,1142.0,4.0,1,998,0,177,736,2005.0,2324,5,11924,85.0,286.0,21,5,9,1175,2005,2006,False,False,False
912,0.0,2.0,1,737,5,175,352,1962.0,912,3,12968,69.0,0.0,0,6,5,912,1962,1962,True,False,False
1494,0.0,3.0,3,0,1,1494,840,2006.0,1494,4,10652,91.0,306.0,33,5,7,1494,2006,2007,False,True,False
1253,0.0,3.0,1,733,4,520,352,1960.0,1253,3,10920,69.0,212.0,213,5,6,1253,1960,1960,False,True,False
854,0.0,2.0,1,0,1,832,576,1991.0,854,3,6120,51.0,0.0,112,8,7,832,1929,2001,False,False,True
1004,0.0,2.0,1,578,5,426,480,1970.0,1004,3,11241,69.0,180.0,0,7,6,1004,1970,1970,False,False,False
1296,0.0,2.0,0,0,0,0,516,1967.0,1296,3,10791,72.0,0.0,0,5,4,0,1967,1967,False,False,True
1114,0.0,3.0,1,646,6,468,576,2004.0,1114,4,13695,66.0,0.0,102,5,5,1114,2004,2004,False,False,True
1339,0.0,3.0,1,504,2,525,294,1958.0,1339,3,7560,70.0,0.0,0,6,5,1029,1958,1965,False,False,True
1158,1218.0,4.0,3,0,1,1158,853,2005.0,2376,4,14215,101.0,380.0,154,5,8,1158,2005,2006,False,True,False
1108,0.0,3.0,1,0,1,637,280,1930.0,1108,4,7449,57.0,0.0,0,7,7,637,1930,1950,False,False,True
1795,0.0,3.0,1,0,0,1777,534,2002.0,1795,4,9742,75.0,281.0,159,5,8,1777,2002,2002,False,True,False
1060,0.0,3.0,1,840,6,200,572,1976.0,1060,3,4224,44.0,0.0,110,7,5,1040,1976,1976,True,False,False
1060,0.0,3.0,2,188,3,204,270,1968.0,1060,4,8246,69.0,0.0,90,8,5,1060,1968,2001,False,False,True
1600,0.0,3.0,1,0,1,1566,890,2007.0,1600,4,14230,110.0,640.0,56,5,8,1566,2007,2007,False,True,False
900,0.0,3.0,2,234,0,180,576,2005.0,900,4,7200,60.0,0.0,32,7,5,900,1951,2000,False,False,True
1704,0.0,3.0,1,1218,6,486,772,2008.0,1704,4,11478,98.0,200.0,50,5,8,1704,2007,2008,True,False,False
1600,0.0,2.0,4,1277,4,207,319,1957.0,1600,3,16321,47.0,0.0,258,6,5,1484,1957,1997,False,True,False
520,0.0,1.0,1,0,1,520,240,1920.0,520,2,6324,60.0,0.0,0,6,4,520,1927,1950,False,False,True
649,668.0,3.0,1,0,1,649,250,1920.0,1317,3,8500,50.0,0.0,54,4,4,649,1920,1950,False,False,True
1228,0.0,3.0,1,0,1,1228,271,1966.0,1228,4,8544,69.0,0.0,65,6,5,1228,1966,2006,False,False,True
1234,0.0,3.0,3,0,1,1234,484,2007.0,1234,4,11049,85.0,0.0,30,5,8,1234,2007,2007,False,True,False
1700,0.0,4.0,1,1018,3,380,447,1959.0,1700,4,10552,70.0,0.0,38,5,5,1398,1959,1959,False,True,False
1561,0.0,2.0,1,1153,6,408,556,2005.0,1561,5,7313,60.0,246.0,47,5,9,1561,2005,2005,False,False,False
